iter	Logloss
0	0.5318263681
1	0.4415380195
2	0.3688469489
3	0.3163268803
4	0.2914200581
5	0.2668497167
6	0.2508094984
7	0.240150031
8	0.2254826687
9	0.218397686
10	0.2094881009
11	0.2027346589
12	0.2002327276
13	0.198392861
14	0.1964166865
15	0.194378964
16	0.1919676922
17	0.1893862474
18	0.1885640057
19	0.18791919
20	0.1866349335
21	0.1853242983
22	0.1844101835
23	0.183669075
24	0.1831514042
25	0.1821548091
26	0.1813819035
27	0.1811817404
28	0.1809091797
29	0.1807237652
30	0.1804849221
31	0.1800615136
32	0.1797671411
33	0.1793598251
34	0.1791375286
35	0.1789618481
36	0.1784841478
37	0.1783934751
38	0.1782663193
39	0.1780933287
40	0.177849714
41	0.1775894012
42	0.1774959559
43	0.1773472007
44	0.1770951663
45	0.1769145862
46	0.1767991338
47	0.1766304289
48	0.17634495
49	0.1762626534
50	0.1760863511
51	0.1759953395
52	0.1758608998
53	0.1757732419
54	0.175655329
55	0.1755565164
56	0.1754453348
57	0.1753396072
58	0.1752156056
59	0.1751628816
60	0.1750282963
61	0.1749398019
62	0.1748392143
63	0.1747131691
64	0.1746882319
65	0.1745546156
66	0.1744976621
67	0.174426845
68	0.1743462524
69	0.1742535602
70	0.1741835736
71	0.1740880459
72	0.1739138222
73	0.1738296285
74	0.1737280192
75	0.1736888084
76	0.17349846
77	0.1734173203
78	0.1732976527
79	0.1732919944
80	0.1732392747
81	0.1731877883
82	0.1731569524
83	0.1730870579
84	0.1730057918
85	0.1729417332
86	0.1728662938
87	0.1728420895
88	0.1727827192
89	0.1727325058
90	0.1726545988
91	0.1726030524
92	0.1725403639
93	0.1724434918
94	0.1723597118
95	0.1723059523
96	0.172192028
97	0.172099102
98	0.1719951199
99	0.1719096974
100	0.171816367
101	0.1717364022
102	0.1716773807
103	0.1716061031
104	0.1715038109
105	0.1714198232
106	0.1713316727
107	0.1712617275
108	0.1712054056
109	0.1711114126
110	0.1710303824
111	0.1709618013
112	0.1708972969
113	0.1708105153
114	0.1707785056
115	0.1707107795
116	0.1706281057
117	0.1705696624
118	0.1704823102
119	0.1704435708
120	0.1703874501
121	0.1702989104
122	0.170244545
123	0.1701443449
124	0.170039869
125	0.1699966284
